text,label
fear population philippines stupid enough vote binay PLEASE let happen,1
binay binay ba binay,0
lead uprising binay wins — trillanes URL,0
PAGHILOM MAR ROXAS BI PAKYU,1
tignan mo si binay akong kwento nanaman iniimbento mudang,0
binay manage afford even accounts frozen owe URL,0
NUMBER elections race mayor rodrigo duterte former DILG secretary mar roxas would ... URL,0
bagay bagay kayo promise kayong anak binay,0
ilang kilometro nalakad binay debate good TV NUMBER karen disappointment pili pinas debates NUMBER,1
take shot,2
binay mentions makati,2
duterte mentions davao,2
poe mentions FPJ,2
roxas mentions daang matuwid,0
USERNAME kayo nalang binay forever kayo eh XD azar,0
mabuhay binay aba hahahaha hayop,1
USERNAME reason mar roxas increase numbers dumb stupid lacks sincerity factors hid,1
binay roxas kayo mananalo SHUT nalang kayo,1
binay PH business expo hope invite next year president philippines P hvote,0
binay poe roxas santiago miriam NUMBER,0
boboto kay binay tanga taxi driver hard haha :),1
propaganda act define mayor duterte defined politicians country dirty acts gain power,2
DUTERTE TILL END,0
RT USERNAME nakaka gago tong ads binay buseeettt,2
ASAP pop kilig,1
USERNAME cortuption poverty isis isip naman binay USERNAME,1
oh ayan bobo bayan binay mar poe SALITA URL,1
layo sagot binay pota,1
say plunderers BIG binay URL,1
POE putangina mo umuwe kana duterte,1
think KNOW noy secret candidate cough BINAY cough URL daang matuwid cory favorite,0
USERNAME medjo nakakatakot manalo si robredo baka ipa impeach nya si duterte ... eh galamay yan roxas isama si trillanes,0
pol ad nakakaiyak naman si binay awang awa,2
joke big joke,2
asawa aswang,2
ALDUB happy bday LOLA URL,1
ngaun kalaban VP binay gaano kadami sumusuporta sknya iyak nalang kau,2
B NUMBER NAY binay winner,0
edi si binay pandak nyeta parang ah nanyo HAHAHA bwiset,1
pabebe taon DUTERTE sige tumakbo maghati boto niyo POE MIRIAM nang manalo si BINAY mo,1
USERNAME kaano binay si villar,0
OMG mar roxas president,2
DJ sana di nalang nagendorse URL,1
chiz slams VP binay LP ’ offer gordon file DQ cases poe URL,0
burn binay hahahaha,2
KATHNIEL aklan,2
vote kathryn FPP KCA,1
nalang al dub fans sinisisi nognog si binay kasalanan binoboycott ABS bagyo baha parin mr mrs sotto,1
duterte run president go santiago bongbong tandem long appoint duterte DILG secretary,0
USERNAME yung last link sinend nandun si binay :(,0
mar roxas first choice best choice,0
NAKAKATAINGA TLAGA SI MAR ROXAS di pwede ganun nalang ba yun pag nakadayaan election nanalo sya ... URL,1
VP binay really people media politicians something ... URL,0
sen trillanes accuses VP binay lying trying deceive public TV ad showing … URL URL,0
quicho magsisimula kampanya VP binay kahirapan USERNAME pilipino,0
basta pag si poe si binay nag anoint successor NUMBER nina mar leni e gawin OK inyo ha,0
sana yung binoto nyo kay poe roxas binay binoto nyo nalang kay miriam eh,0
kayo nanakawan mar roxas HAHA BOGUS AD say desparate ELECTIONS NUMBER,1
nako mar roxas tsk tsk alam,1
oa lang naman yung die hard fans dut erte kay binay mar roxas yun matutuwa :-),0
tatakbo si duterte mahahati boto knila miriam end si mar roxas mananalo haynako,1
sen bongbong marcos gamely says get along presidentiables binay also … URL,0
retweet still support mayor duterte wag magpapaloko black propaganda,2
DUTERTE TILL END URL,1
USERNAME allan cayetano disgrace babbling mouth since gloria adm regarding mike arroyo proven NOTHING zero vote,1
NUMBER sinungaling NUMBER bagito NUMBER masakitin matanda lalagay sigurado mar plan roxas robredo URL,1
election period real image people revealed much dismayed abscbn trillanes roxas conspiracy behind,0
BINAY ASH WEDNESDAY GRABE nog nog hambog URL,1
RT USERNAME imagine havoc binay marcos administration wreak ’ afraid NUMBER URL PH vote …,0
desperate move mar roxas jusko lumaban patas rumi,1
buti si binay hahaha,0
pinagkaiba si binay NUMBER year old tampururot masyadong paawa TV ads amp,1
mar binay poe tigilan niyo paggamit taong gutom porket mahirap pwede niyo n paglaruan buhay URL,1
RT traffic EDSA LIKE mo iboboto si binay QT tingin nyo laman biceps alden vote maine FPP KCA,0
medyo pasikat si binay,1
abias CBN report grace poe hakot buses passengers stranded USERNAME,1
mas mukhang sakit si grace poe kesa kay miriam sns,0
poe binay duterte ‘ good ’ migz URL,0
VP binay condemn killing former councilor sto tomas URL via GMA news,0
mar might well DK kidnap roxas robredo URL,0
maski mag one pamo poe roxas still defeat duterte,0
USERNAME wla nmn kaung mgndang ibinabalita kay binay di nyo mlloko binay makati san,2
pagbabalik binay makati,1
alam mo binay alam naming pandak nognog wag mo ibroadcast,1
kandidatong pasok opisyal balota president NUMBER BINAY jejomar C NUMBER DEFENSOR SANTIAGO miriam ... URL,0
binay gave us one reason vote nognog hambog,1
USERNAME NUMBER nga sery NUMBER c binay eend NUMBER rse alden,0
visitation VP jejomar binay sen gringo honasan gov david jayjay suarez quezon NUMBER days life ... URL,0
takot si trillanes roxas grabe nalang siraan si duterte kasi unang titirahin duterte ever manalo eh,1
si roxas ayaw di lang kasi boo abutin GO VP BINAY binayforpresident nog nog sinunog onlybinay URL,1
RT USERNAME daming commercial binay naman yaman hahahaha,2
always kam zo,0
mar roxas srsly needs PR specialist something although rather enlightening absurd things coming mouth,1
ETONG AD BINAY NAKAKAINIS NOGNOG ALAM OY,1
binay tops pre election survey URL via eagle news,0
tuwing napapanood yung ad roxas binay nababadtrip taena,1
R etweet mo pabebe si mar roxas,1
traffic naman makati haaay binay,1
SI VP binay alam paunladin bansa,2
binay BFF,0
USERNAME people loves complain VOTE ROXAS halalan NUMBER mar daang matuwid RORO RISING,0
roxas binay reaching poor miriam educated poe ... uhm ... comelec daw muna kaso e,0
binay mind ... VAT NUMBER k earner ridiculous thing could ever imagine,1
RT USERNAME pati si binay ideal boy babae hahaha :D,0
grace poe second rank survey poe NUMBER,0
nyo ba yung mar roxas miriam santiago san marcelino HAHAHAAHAHHAHAHA,0
bunga hilaw pamamalakad,2
hinding talaga boboto sayo mar roxas URL,1
GUYS HELP SPREAD po lanao del norte si duterte nilagay si roxas lalabas URL,0
uh oh poe lead roxas NUMBER 377 du NUMBER PH election NUMBER,0
duterte running president sure win binay,0
sus binay roxas joke sinabi si duterte alam ibabash nyo parin sya,1
VP binay sagot kahirapan bansa binay priority NUMBER ps,0
echos mo binay ika tumigil,0
ewan sayo binay yon sayo mayaman makati yon tax ayala,1
RT USERNAME luko luko talaga abaya anong sabotage si mar roxas noy aquino nag sabotage MRT https :/ t…,1
lang ba tingin kwenta si binay hhaaha,1
LRT sorry bongbong marcos vote vote running mate miriam defensor santiago =) never,0
si poe nalang ayaw mo si duterte wala ding ambag eh,0
@ANCALERTS VIDEO rep binay never forgive sen trillanes URL even bother read diversionary,1
TV NUMBER aksyon VP binay nanligaw botante cavite umaaksyon si USERNAME pilipino news NUMBER aksyon,0
mar roxas new commercial big binay nognog trapo,1
USERNAME hahahah mas sayang boto kay binay mar napunta hahaha wag magalit kai hahaha sakin lang yan,0
RT USERNAME kath niel leads celebrity gathering presidential candidate mar roxas ... URL via USERNAME,0
diktador dating USERNAME questioned miriam NUMBER URL URL,0
VP binay disagrees duterte says death penalty solution criminality via USERNAME,0
transcript mar roxas interview NAIA tanim bala URL,0
mar roxas criticised showing receipt media URL,0
duterte miriam talaga binay poe mar wag pili pinas debates NUMBER,0
jejomar binay narinig niyo naman bintang kinahinatnan nahatulan pili pinas debates NUMBER,0
si VP binay matapos kahirapan,2
mambobolang duterte,1
makati binay iisa abby binay entitled bitches,1
ibinoto nyo kasi si ... WISELY x,2
kadeee ...,2
president ... WAG lang si MAR ROXAS P,1
kay binay ... kay binay ... nognog pandak magnanakaw gago wala kang naloloko,1
USERNAME lets honest ... know leni one pull upset ... pres duterte poe binay mar,0
RT USERNAME santiago duterte damn lang kasi silang dalwa yung tandem pinapahirapan jusko,2
du …,1
drama queen kang si binay iiyaknayan URL,1
di du NUMBER grabe P noy HAHAHAH ganyan pala kababa notoroxas yellowpropaganda URL,1
hate binay hate duterte niyo talaga gets yung debate,0
wag kang mag alala roxas pagnanalo si du NUMBER popondohan nya yung business nyong tsinelas korina chill kalang,0
binay karen davila like expound eleksyon NUMBER,0
ginagaya paris yung batang naiyak commercial binay hahahaha,0
USERNAME puro kalokohan mar roxas wala kang alam sabhn kundi puro pani NUMBER ra mo papogi,2
binay priority NUMBER ps,1
NUMBER si binay nagronda gabi makikita mo ba,1
NUMBER days straight exposed init napala edi eto nognog kagaya binay dafuck,1
si binay nognog pandak laki hirap si USERNAME pango pandak rak rak,1
maka roro taas,2
maka roro baba,2
PH vote roxas roxas leni PH vote mar leni mayo roxas mar roxas robredo,0
USERNAME magpakatotoo beh corrupt si tatay binay rin,1
binay pakibigyan nalang cake,0
front page binay lead narrows duterte latest BW SWS survey full story URL URL,0
USERNAME VP binay nalagpasan nya nga yung pangungulila yan ba binabato nyo sakanya,2
binay makati san,0
humabol si mar roxas,1
binay need increase IRA NUMBER th NUMBER th class municipalities must empower local government units make accountable P hvote,0
mar roxas knows grace poe number nagpapresscon talaga sana tinawagan papansin drama queen disente,1
turn verify USERNAME never mind NUMBER baka takot k poe ph vote hakot PH vote poe URL,0
meanwhile binay grace di nakakalimutan issues despite saying duterte binay tra poe,1
sorry talaga si binay maiwasan matawa pili pinas debates NUMBER,0
back politics mas pagasa pang manalo si binay kay roxas,0
... parang gustong palabasin mar roxas pulitiko magnanakaw political ad,0
mar roxas giniit magpadalus dalos pagtugon isyu tanim bala NAIA aksyonsaumaga URL,0
binay gives candies name bgy nine balayan batangas vote PH NUMBER URL,0
RT USERNAME sus si mar roxas mameh hahaha,1
USERNAME trust ratings mar roxas gone despite spin ranks far away third nationally trust ratings wise,0
yellowtards mar roxas action call decent ayaw DILAW,1
USERNAME paki baril si mar roxas,2
choss,1
OMG mar roxas already top mar roxax rodrigo duterte presidential candidate opinion res ipsa loquitur URL,0
diba binay vice PNOY edi wala kwenta NUMBER taon nangyare bansa kupal forevs,1
ayaw daw kay duterte kasi baka magka martial law magkagulo lang kay roxas kayo di nga nananalo ... URL,0
FUCK MAR ROXAS fr squad,2
PH VOTE DUTERTE duterte day URL,1
USERNAME gaga :) conceded yesterday think si binay nalang wala,1
USERNAME tanong po kay binay mahalal pangulo mandatory patigilin korapsiyon,0
nalupet rin si binay dulo lumalaban alam talo,0
RT USERNAME TANGA LANG BOBOTO KAY MAR ROXAS UULITIN TANGA LANG,1
president naman bumoto kay duterte roxas binay family,0
pikon talo labanan roxas duterte hahaha,1
putangina duterte president sumpain MAR ROXAS HAHAHA,1
nagtatanim bala binay napoles kayo pong bahala,0
dont know dots laaaffhhdhfhdhdj hard binay blackie whyyy URL,1
binay abolish good pro poor program,2
binay priority NUMBER ps,0
binay sama sama tayong isulong ginhawa pamilyang pillipino,2
p hvote,0
@phvote grace poe miriam defensor santiago top vice president choices mar roxas – survey URL PH vote PRES MIRIAM,0
magkano naman ibinayad mar roxas kay daniel padilla ienderso ya reasons vote mar,0
binay taon akong pinagtutulungan vote PH NUMBER underdog effect,1
lang ba naiinis advertisement binay nognog daw tayong lol lang,1
sige buhat bangko binay hidhid rin URL,1
USERNAME argument mother mar roxas rn ...,0
bsta ah voting binay,0
ayan nanaman linya binay makati PWE,1
matulog number NUMBER si duterte pag katapos matulog number NUMBER si roxas blackmagic,1
appearance VP jejomar binay sen gringo honasan gov david jayjay suarez distribution ... URL,0
RT ABSCBN news information VP binay filed expiration term vice president via ombudsman ph via …,0
USERNAME hahaha loko parang ganun lang sige jan binay mo hanapin mo yan pag ...,0
mr MAR ROXAS sakaling maisip mo mag concede baka skaling matira pang pagmamahal sayo taong bayan realtalk du NUMBER,1
mar roxas u gotta fuckin kiddin meee,1
kanina yang sasakyan nagpapatugtog binay binay ... dinami rami pwedeng LSS ... haay nakakasira weekend ha,0
lang ba yung naiinis commercial mar roxas binay plastik,1
kampo VP binay naghain motion reconsideration kaugnay isinamapang kaso ombudsman via allan francisco,0
mananalo mar roxas shut nalang ayaw DILAW shut lang series,1
kunwari wala aber si binay tinawag si poe american girl ...,1
bet talaga tong TV ad binay,2
ALDUB NUMBER th weeksary,0
senator poe says affected girl tag given VP binay hey marv,0
sakit lang isipin mas nauungusan roxas binay si MDS,1
USERNAME BS aquino panic attacks ubo ); unity call vs DU NUMBER confirmed poe manchurian candidate LP jumps gun,1
simula huling debate pagka pangulo ipanalo gobyernong puso PH vote POE URL,0
RT USERNAME binay B NUMBER nay papalit one direction,2
MTV stars one direction,0
ayaw natin gobyernong manhid poe pilipinas debates NUMBER,0
PHL BUSINESS CONFERENCE binay lists priorities cut tax rates narrow infra gap lick poverty URL URL,0
good news go VP binay binay NUMBER,0
ayoko panuorin tong replay nairita lang lalo kay mar roxas puta,0
dont wanna political analyst real quick nakakahiya ata pinag gagawa aquino roxas trillanes gradeschool moves,1
NUMBER wks got booed sinulog binay strikes,2
welcome BINAY country tarp IEC mass yesterday https :/ co gjpj18pxpd,0
BOBO BINAY YES NGA,1
kay binay baka masira tong TV namen ...,1
makati rep abi binay confirms run makati mayoralty race last minute party family decision,0
tvc ba naman sinisiraan si binay,0
USERNAME binay bare hand eating ... unhygienic ... smiling also,1
UNTV repaso NUMBER dismissed makati mayor binay sinampahan bagong plunder complaint office ombudsman 18 12 2015 NY A1741,0
maroxas camp PPCRV apologize pilipino URL,0
mar roxas antics meant cover preparations fraud,2
real news today hundreds VCM technicians replaced last minute,1
condonation doctrine ginamit depensa mayor binay ibinasura korte … URL URL,0
fuck duterte fuck binay fuck marcos,1
tangina binay talaga,1
nognog pandak pu ñeta tumigil binay,1
binay survey poverty proof non inclusive growth URL,0
RT senmiriam cover maiden issue gavel robe magazine philippine law lawyers … URL,0
NOGNOG,2
PANDAK,2
LAKI HIRAP,2
PABEBE,2
NOGNOG ULIT,2
YAN SI BINAY,2
nog nog hambog,1
RT USERNAME god please give us leaders believe philippines grace poe NUMBER grace poe mar roxas binay daang matuwid ht …,0
uber driver asked presidente answered wag lang si binay halalan NUMBER,0
USERNAME nakakalungkot :( roxas binay etc die anytime though,1
romualdez cousins supporting binay NUMBER via USERNAME URL,0
plot twist biglang manalo si mar roxas,0
RT USERNAME NANCY BINAY PRESIDENT PO LIBRE CONCERT TICKETS MAGKAKARON TAO NETFLIX BOTO BINAY FAMBAM xx …,0
enrile announces binay,2
birds feather,2
make,2
,2
good,2
feather,2
duster URL,0
uy duterte di ba nag submit lang candidacy disqualified si poe psst wala daw sya oh ha ha ha jk,1
mlapit ELECTION undecided prin ... next president wooh hirap ... ayoko tlga kay mar binay ...,0
poe roxas santiago weigh controversial canada trash URL PH vote URL,0
continuity filipino tandem roxas robredo way drama trabaho lang,0
DI GUMAGANA UNG MIC BINAY HAHAHA pili pinas debates NUMBER,0
FCKING MAR ROXAS TV PATROL COME ABS CBN,1
@sengracepoe roxas saying duterte presumptuous elite people decide run,0
magsasawa haaa team VP binay binay,0
RT USERNAME PAGKAKAIBA mar pilit nagpapaliwanag binay ayaw magpaliwanag poe makapagpaliwanag miriam santiago sana …,1
abby binay instructed BEI fall line wait turn vote halalan NUMBER URL via USERNAME,0
DAMING COMMERCIAL MAR ROXAS,2
umay,1
daming political ads BINAY NAKAKAIRITA,1
natatawa talaga dun binay yung nognog,0
binay pakisagot po muna yung allegations nyo senate complain pinagkakaisahan po kayo thanks po,1
grace poe versus mar roxas compare contrast ACHIEVEMENTS,2
URL URL,0
get feeling mar roxas turning people PURPOSE ayaw dilaw,1
plastic nangangandidato lalo si binay,1
du ro duterte robredo di kinaya ever bi leni binay leni leni real VP recount VP URL,0
@trillanessonny NUMBER percent certain binay change lifelong thief plunderer vote PH NUMBER,1
nakikitang mali si poe anti duterte ad SRSLY POE roxas poe ayawsa DILAW,1
USERNAME binay good pray ask enlightenment helps ;) also go someone delivers talks,0
boo binay,1
binay cries foul inquirer report alleged dummy bank accounts URL URL,0
graft corruption binay tells students URL USERNAME URL,0
si binay ginamit tingin nya kakaawaan sya makuha simpatya tao ...,0
sorry vote womanizer trashtalker killer still go grace poe,1
VICE president binay spent P NUMBER 713 000 television electoral adverts NUMBER said ad money came friends supporters,0
VP binay expects black propaganda amid ratings rise via USERNAME,0
reminder lang nangongopya kasi hugot drama pasiga siga trabaho lang mar roxas po URL,0
INC endorsing mar roxas would USERNAME money faith faith money ayaw DILAW,1
traffic quiapo,2
bata NUMBER si duterte presidente mawawala magnanakaw,2
B NUMBER si roxas binay boboto eh,0
friday NUMBER th sinabi mamang especially kay nancy binay crush USERNAME reden diary,0
buti lang reject grace poe yung offer mar roxas hahaha alam gagamitin lag niyon sakali eh,0
fairness nagpapaka honasan si cayetano wag si binay lang wag si mayor duterte lang leader want,0
bobo padin mar roxas presidente,1
si vice president jejomar binay magiging susunod pangulo itutuloy daw nya corruption GMA news NUMBER ULUL,0
mar roxas call unity describes one thing SELFISHNESS deserve PRESIDENT,1
okay nga si mar nalang kesa si binay PSY pagyanig,0
nognog nognog nagmamalasakit tsk NUMBER ayaw kay binay pala nagmamalasakit saming tisoy nakaka sad,0
pag wala raw naproklamang VP extended daw si VP binay asa,1
USERNAME agree binay BBM prez VP nya scary,1
USERNAME wala nyo lang siraan si VP binay ganyan si idol tsk,1
USERNAME honestly naaawa kay binay alam yung story nya lol,0
starting believe binay created public service created cult instead boo binays stupid supporters,1
heard binay radio ad ... almost stabbed,2
know candidate,1
binay binay pota LSS,1
rep binay agree full transparency becomes deterrent efficiency sacrifice basic services needed city,0
kay binay pera pera lang yan alam nyo ha URL,1
would happier see miriam switch places either roxas binay polls would happiest became president,0
si binay URL,0
mar roxas ad worth NUMBER pesos v,1
vice president binay URL,1
ROXAS PRESIDENT,2
ROBREDO VICE PRESIDENT,2
mar daang matuwid,0
RT USERNAME mar roxas proclaimed datu lanao sultanate URL USERNAME URL,0
bea mom í dont like binay diba madami siyang tinutulungan,2
HAHAHA,0
honasan belies crowd sinulog booed binay URL URL,0
binay wasting time trying bring duterte tsk digong ayaw nalang tawn pansina PH vote duterte,1
teacher pala si nancy binay kuhang kuha maam,0
si roxas binay ung nag dala eh,0
pati yung report regarding pambabastos daw students UPLB kay VP binay mali mali pwe ABSCB nnomore,1
kinabukasan VP binay nag iisa,2
B NUMBER NAY,2
binay winner,0
si duterte ala hitler alam si grace binay kurakot isyu walong araw matapos ikalawang ... URL,1
nakaiyak talaga story binay,0
hala nasunog nog nog nog nog nog nog nog nog chura binay,2
HAHAHA,1
campaign slogan P noy noong nakaraang eleksyon kinuwestyon VP binay via allan francisco,0
mar roxas leni robredo po URL,0
sana manalo si mar roxas,0
ABSCBNIRRESPONSIBLE pwede si binay naman next week si BB marcos FAIR ba natin yan ha P,1
problem mar roxas elitist,2
problem grace poe neophyte,2
election NUMBER,1
magkaiba si binay si alma,2
si binay nognog,2
si alma moreno,0
bwisit roxas mas bastos p kay duterte pulling grace poe ayaw DILAW,1
good friends duterte poe santiago pili pinas debates NUMBER,0
dear mar roxas makaramdam naman commercial pedeng ipapakita yung tvc mo nakakasawa ho ... URL,1
u MAR personifies BAYAN attribute MAR walangiwanan mar mar roxas NUMBER URL,0
oo binay nognog di naman naiinggit kulay mo e,1
punyetang binay namang commercial punyeta,1
maki JJ binay puro lang kasi sandro pilipino BBM NUMBER VP URL,0
takes special someone make binay look reasonable classy gentleman nice job duterte think possible ...,1
kwento mo mar roxas galit talaga yo simula nung paglamatay robredo,1
presidential preschool,2
top NUMBER santiago,2
disciplined duterte,2
polite poe,2
active roxas,2
best storyteller binay,2
duterte NUMBER,0
sobrang pagka G binay dinoble tinawav syang gno G,1
“ arrogance might call arrogance avarice lust power ” catelyn stark describing lannisters mar roxas,1
rather mar president binay poe pls lang,1
nandito si binay wala klase INIT haggardface URL,1
hoy gago wag bumoto si binay lang naman pangulo mo charot,1
RT ANCALERTS cheapen presidency duterte tells poe camp halalan NUMBER URL URL,0
pag manalo si grace poe eleksyon laya agad sina jinggoy estrada bong revilla di rin makulong si P noy ... URL,0
plot twist,2
sen grace poe ibibigay nalang boto kay mar roxas,2
HALALAN NUMBER,0
mar roxas ipagpatuloy DAANG MATUWID,2
